LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
35, 257.0, 25179.0, 2764800, 1.0, 24412.0, 153600, 511.0, 25273.0, 350208, -140084.0, -1.0, 2801680, -61440.0, -1.0, 1228800, 25497.0, 43007.0, 350208,
36, 257.0, 1231.0, 150528, 65.0, 256.0, 12288, 511.0, 1357.0, 50176, -10036.0, -1.0, 200720, -2458.0, -1.0, 49160, 1549.0, 4057.0, 50176,
37, 257.0, 43045.0, 1280000, 1.0, 42690.0, 614400, 511.0, 43091.0, 240000, -64000.0, -1.0, 1280000, -157287.0, -1.0, 3145740, 43299.0, 55298.0, 240000,
38, 257.0, 1669.0, 100352, 1.0, 1218.0, 98304, 511.0, 1859.0, 75264, -5018.0, -1.0, 100360, -6554.0, -1.0, 131080, 1923.0, 5686.0, 75264,
39, 257.0, 2813.0, 40768, 1.0, 2701.0, 212992, 511.0, 3259.0, 50176, -2509.0, -1.0, 50180, -10650.0, -1.0, 213000, 3259.0, 5767.0, 50176,
40, 257.0, 63103.0, 187200, 1.0, 63031.0, 2662400, 511.0, 63421.0, 94464, -9447.0, -1.0, 188940, -157287.0, -1.0, 3145740, 63549.0, 68272.0, 94464,
41, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -111975.0, -1.0, 2239500, -7373.0, -1.0, 147460, 11045.0, 39038.0, 559872,
42, 257.0, 1130.0, 53824, 193.0, 256.0, 16384, 511.0, 1606.0, 215296, -10765.0, -1.0, 215300, -820.0, -1.0, 16400, 1606.0, 12370.0, 215296,
43, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -43264.0, -1.0, 865280, -14746.0, -1.0, 294920, 7209.0, 28840.0, 432640,
44, 257.0, 1583.0, 57600, 129.0, 1247.0, 65536, 511.0, 1981.0, 115200, -2880.0, -1.0, 57600, -3277.0, -1.0, 65540, 1981.0, 7740.0, 115200,
45, 257.0, 707.0, 50176, 1.0, 256.0, 65536, 511.0, 961.0, 50176, -2509.0, -1.0, 50180, -3277.0, -1.0, 65540, 961.0, 3469.0, 50176,
46, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -16589.0, -1.0, 331780, -29492.0, -1.0, 589840, 8189.0, 24777.0, 331776,
47, 257.0, 3056.0, 65536, 1.0, 2746.0, 262144, 511.0, 3319.0, 65536, -820.0, -1.0, 16400, -13108.0, -1.0, 262160, 3319.0, 6595.0, 65536,
48, 257.0, 3005.0, 50176, 1.0, 2701.0, 262144, 511.0, 3259.0, 50176, -1255.0, -1.0, 25100, -13108.0, -1.0, 262160, 3259.0, 5767.0, 50176,
49, 257.0, 12257.0, 65536, 1.0, 11986.0, 1048576, 511.0, 12511.0, 65536, -1639.0, -1.0, 32780, -52429.0, -1.0, 1048580, 12511.0, 15787.0, 65536,
50, 257.0, 10599.0, 1679616, 1.0, 7620.0, 36864, 511.0, 10853.0, 559872, -111975.0, -1.0, 2239500, -7373.0, -1.0, 147460, 11045.0, 39038.0, 559872,
51, 257.0, 1130.0, 53824, 193.0, 256.0, 16384, 511.0, 1606.0, 215296, -10765.0, -1.0, 215300, -820.0, -1.0, 16400, 1606.0, 12370.0, 215296,
52, 257.0, 6827.0, 778752, 1.0, 6024.0, 147456, 511.0, 7081.0, 432640, -43264.0, -1.0, 865280, -14746.0, -1.0, 294920, 7209.0, 28840.0, 432640,
53, 257.0, 1583.0, 57600, 129.0, 1247.0, 65536, 511.0, 1981.0, 115200, -2880.0, -1.0, 57600, -3277.0, -1.0, 65540, 1981.0, 7740.0, 115200,
54, 257.0, 707.0, 50176, 1.0, 256.0, 65536, 511.0, 961.0, 50176, -2509.0, -1.0, 50180, -3277.0, -1.0, 65540, 961.0, 3469.0, 50176,
55, 257.0, 7935.0, 331776, 1.0, 7536.0, 589824, 511.0, 8189.0, 331776, -16589.0, -1.0, 331780, -29492.0, -1.0, 589840, 8189.0, 24777.0, 331776,
56, 257.0, 3056.0, 65536, 1.0, 2746.0, 262144, 511.0, 3319.0, 65536, -820.0, -1.0, 16400, -13108.0, -1.0, 262160, 3319.0, 6595.0, 65536,
57, 257.0, 3005.0, 50176, 1.0, 2701.0, 262144, 511.0, 3259.0, 50176, -1255.0, -1.0, 25100, -13108.0, -1.0, 262160, 3259.0, 5767.0, 50176,
58, 257.0, 12257.0, 65536, 1.0, 11986.0, 1048576, 511.0, 12511.0, 65536, -1639.0, -1.0, 32780, -52429.0, -1.0, 1048580, 12511.0, 15787.0, 65536,
59, 257.0, 27846.0, 689275, 232.0, 256.0, 1600, 511.0, 28144.0, 1764544, -157287.0, -1.0, 3145740, -320.0, -1.0, 6400, 16926.0, 64134.0, 1764544,
